frame,time
1006,44.073
1007,44.138
1008,44.202
1009,44.235
1010,44.299
1011,44.331
1012,44.396
1013,44.428
1014,44.493
1015,44.525
1016,44.589
1017,44.654
1018,44.686
1019,44.751
1020,44.783
1021,44.848
1022,44.880
1023,44.944
1024,44.977
1025,45.041
1026,45.106
1027,45.138
1028,45.202
1029,45.235
1030,45.299
1031,45.331
1032,45.396
1033,45.428
1034,45.493
1035,45.557
1036,45.590
1037,45.654
1038,45.686
1039,45.751
1040,45.783
1041,45.848
1042,45.880
1043,45.944
1044,46.009
1045,46.041
1046,46.106
1047,46.138
1048,46.203
1049,46.235
1050,46.299
1051,46.332
1052,46.396
1053,46.428
1054,46.493
1055,46.557
1056,46.590
1057,46.654
1058,46.686
1059,46.751
1060,46.783
1061,46.848
1062,46.880
1063,46.945
1064,47.009
1065,47.041
1066,47.106
1067,47.138
1068,47.203
1069,47.235
1070,47.299
1071,47.332
1072,47.396
1073,47.461
1074,47.493
1075,47.558
1076,47.590
1077,47.654
1078,47.687
1079,47.751
1080,47.783
1081,47.848
1082,47.912
1083,47.945
1084,48.009
1085,48.041
1086,48.106
1087,48.138
1088,48.203
1089,48.235
1090,48.300
1091,48.364
1092,48.396
1093,48.461
1094,48.493
1095,48.558
1096,48.590
1097,48.654
1098,48.687
1099,48.751
1100,48.816
1101,48.848
1102,48.912
1103,48.945
1104,49.009
1105,49.042
1106,49.106
1107,49.138
1108,49.171
1109,49.235
1110,49.267
1111,49.300
1112,49.364
1113,49.396
1114,49.429
1115,49.461
1116,49.525
1117,49.558
1118,49.590
1119,49.622
1120,49.687
1121,49.719
1122,49.751
1123,49.784
1124,49.848
1125,49.880
1126,49.913
1127,49.945
1128,50.009
1129,50.074
1130,50.106
1131,50.171
1132,50.203
1133,50.267
1134,50.300
1135,50.364
1136,50.396
1137,50.461
1138,50.526
1139,50.558
1140,50.622
1141,50.655
1142,50.719
1143,50.751
1144,50.816
1145,50.848
1146,50.913
1147,50.945
1148,51.009
1149,51.074
1150,51.106
1151,51.171
1152,51.203
1153,51.268
1154,51.300
1155,51.364
1156,51.397
1157,51.461
1158,51.526
1159,51.558
1160,51.622
1161,51.655
1162,51.719
1163,51.751
1164,51.816
1165,51.848
1166,51.913
1167,51.977
1168,52.010
1169,52.074
1170,52.106
1171,52.171
1172,52.203
1173,52.268
1174,52.300
1175,52.364
1176,52.429
1177,52.461
1178,52.526
1179,52.558
1180,52.622
1181,52.655
1182,52.719
1183,52.752
1184,52.816
1185,52.881
1186,52.913
1187,52.977
1188,53.010
1189,53.074
1190,53.106
1191,53.171
1192,53.203
1193,53.268
1194,53.332
1195,53.364
1196,53.429
1197,53.461
1198,53.526
1199,53.558
1200,53.623
1201,53.655
1202,53.719
1203,53.784
1204,53.816
1205,53.881
1206,53.913
1207,53.977
1208,54.010
1209,54.074
1210,54.106
1211,54.171
1212,54.236
1213,54.268
1214,54.332
1215,54.365
1216,54.429
1217,54.461
1218,54.526
1219,54.558
1220,54.623
1221,54.655
1222,54.719
1223,54.784
1224,54.816
1225,54.881
1226,54.913
1227,54.978
1228,55.010
1229,55.074
1230,55.107
1231,55.171
1232,55.236
1233,55.268
1234,55.332
1235,55.365
1236,55.429
1237,55.461
1238,55.526
1239,55.558
1240,55.623
1241,55.687
1242,55.720
1243,55.784
1244,55.816
1245,55.881
1246,55.913
1247,55.978
1248,56.010
1249,56.074
1250,56.139
1251,56.171
1252,56.236
1253,56.268
1254,56.332
1255,56.365
1256,56.429
1257,56.462
1258,56.526
1259,56.591
1260,56.623
1261,56.687
1262,56.720
1263,56.784
1264,56.816
1265,56.881
1266,56.913
1267,56.978
1268,57.042
1269,57.075
1270,57.139
1271,57.171
1272,57.236
1273,57.268
1274,57.333
1275,57.365
1276,57.429
1277,57.494
1278,57.526
1279,57.591
1280,57.623
1281,57.687
1282,57.720
1283,57.784
1284,57.817
1285,57.881
1286,57.913
1287,57.978
1288,58.042
1289,58.075
1290,58.139
1291,58.171
1292,58.236
1293,58.268
1294,58.333
1295,58.365
1296,58.429
1297,58.494
1298,58.526
1299,58.591
1300,58.623
1301,58.688
1302,58.720
1303,58.784
1304,58.817
1305,58.881
1306,58.913
1307,58.978
1308,59.010
1309,59.042
1310,59.075
1311,59.139
1312,59.171
1313,59.204
1314,59.236
1315,59.268
1316,59.333
1317,59.365
1318,59.397
1319,59.430
1320,59.494
1321,59.526
1322,59.559
1323,59.591
1324,59.655
1325,59.688
1326,59.720
1327,59.752
1328,59.817
1329,59.849
1330,59.881
1331,59.913
1332,59.978
1333,60.010
1334,60.043
1335,60.075
1336,60.139
1337,60.172
1338,60.204
1339,60.268
1340,60.301
1341,60.333
1342,60.365
1343,60.430
1344,60.462
1345,60.494
1346,60.526
1347,60.591
1348,60.623
1349,60.655
1350,60.688
1351,60.752
1352,60.785
1353,60.817
1354,60.849
1355,60.914
1356,60.946
1357,60.978
1358,61.010
1359,61.075
1360,61.107
1361,61.139
1362,61.172
1363,61.236
1364,61.268
1365,61.301
1366,61.333
1367,61.397
1368,61.430
1369,61.462
1370,61.494
1371,61.559
1372,61.591
1373,61.623
1374,61.656
1375,61.720
1376,61.752
1377,61.785
1378,61.817
1379,61.849
1380,61.914
1381,61.946
1382,61.978
1383,62.010
1384,62.075
1385,62.107
1386,62.139
1387,62.172
1388,62.236
1389,62.269
1390,62.301
1391,62.333
1392,62.398
1393,62.430
1394,62.462
1395,62.494
1396,62.559
1397,62.591
1398,62.623
1399,62.656
1400,62.720
1401,62.752
1402,62.785
1403,62.817
1404,62.881
1405,62.914
1406,62.946
1407,62.978
1408,63.043
1409,63.075
1410,63.107
1411,63.140
1412,63.204
1413,63.236
1414,63.269
1415,63.301
1416,63.365
1417,63.398
1418,63.430
1419,63.462
1420,63.527
1421,63.559
1422,63.591
1423,63.623
1424,63.688
1425,63.720
1426,63.753
1427,63.785
1428,63.849
1429,63.882
1430,63.914
1431,63.978
1432,64.011
1433,64.043
1434,64.107
1435,64.140
1436,64.204
1437,64.236
1438,64.301
1439,64.333
1440,64.365
1441,64.398
1442,64.462
1443,64.495
1444,64.527
1445,64.559
1446,64.624
1447,64.656
1448,64.688
1449,64.720
1450,64.785
1451,64.817
1452,64.849
1453,64.882
1454,64.946
1455,64.978
1456,65.011
1457,65.043
1458,65.107
1459,65.140
1460,65.172
1461,65.204
1462,65.269
1463,65.301
1464,65.333
1465,65.366
1466,65.430
1467,65.462
1468,65.495
1469,65.527
1470,65.591
1471,65.624
1472,65.656
1473,65.688
1474,65.753
1475,65.785
1476,65.817
1477,65.849
1478,65.914
1479,65.946
1480,65.979
1481,66.011
1482,66.075
1483,66.108
1484,66.140
1485,66.172
1486,66.237
1487,66.269
1488,66.301
1489,66.333
1490,66.398
1491,66.430
1492,66.462
1493,66.495
1494,66.559
1495,66.591
1496,66.624
1497,66.656
1498,66.721
1499,66.753
1500,66.785
1501,66.817
1502,66.882
1503,66.914
1504,66.946
1505,66.979
1506,67.011
1507,67.075
1508,67.108
1509,67.140
1510,67.172
1511,67.237
1512,67.269
1513,67.301
1514,67.334
1515,67.398
1516,67.430
1517,67.463
1518,67.495
1519,67.559
1520,67.592
1521,67.624
1522,67.656
1523,67.721
1524,67.753
1525,67.785
1526,67.817
1527,67.882
1528,67.914
1529,67.946
1530,67.979
1531,68.043
1532,68.076
1533,68.140
1534,68.172
1535,68.205
1536,68.237
1537,68.269
1538,68.301
1539,68.366
1540,68.398
1541,68.430
1542,68.463
1543,68.527
1544,68.559
1545,68.592
1546,68.624
1547,68.688
1548,68.721
1549,68.753
1550,68.785
1551,68.850
1552,68.882
1553,68.914
1554,68.947
1555,69.011
1556,69.043
1557,69.076
1558,69.108
1559,69.172
1560,69.205
1561,69.237
1562,69.269
1563,69.334
1564,69.366
1565,69.398
1566,69.430
1567,69.495
1568,69.527
1569,69.560
1570,69.592
1571,69.656
1572,69.689
1573,69.721
1574,69.753
1575,69.818
1576,69.850
1577,69.882
1578,69.914
1579,69.979
1580,70.011
1581,70.043
1582,70.076
1583,70.140
1584,70.172
1585,70.205
1586,70.237
1587,70.302
1588,70.334
1589,70.366
1590,70.398
1591,70.463
1592,70.495
1593,70.527
1594,70.560
1595,70.624
1596,70.656
1597,70.689
1598,70.721
1599,70.785
1600,70.818
1601,70.850
1602,70.882
1603,70.914
1604,70.979
1605,71.011
1606,71.044
1607,71.076
1608,71.140
1609,71.173
1610,71.205
1611,71.237
1612,71.302
1613,71.334
1614,71.366
1615,71.398
1616,71.463
1617,71.495
1618,71.527
1619,71.560
1620,71.624
1621,71.656
1622,71.689
1623,71.721
1624,71.786
1625,71.818
1626,71.850
1627,71.882
1628,71.947
1629,71.979
1630,72.011
1631,72.044
1632,72.108
1633,72.140
1634,72.173
1635,72.205
1636,72.269
1637,72.302
1638,72.334
1639,72.366
1640,72.431
1641,72.463
1642,72.495
1643,72.528
1644,72.592
1645,72.624
1646,72.657
1647,72.721
1648,72.753
1649,72.786
1650,72.818
1651,72.850
1652,72.915
1653,72.947
1654,72.979
1655,73.011
1656,73.076
1657,73.108
1658,73.140
1659,73.173
1660,73.237
1661,73.270
1662,73.302
1663,73.334
1664,73.399
1665,73.431
1666,73.463
1667,73.495
1668,73.560
1669,73.592
1670,73.624
1671,73.657
1672,73.721
1673,73.753
1674,73.786
1675,73.818
1676,73.882
1677,73.915
1678,73.947
1679,73.979
1680,74.044
1681,74.076
1682,74.108
1683,74.141
1684,74.205
1685,74.237
1686,74.270
1687,74.302
1688,74.366
1689,74.399
1690,74.431
1691,74.495
1692,74.560
1693,74.592
1694,74.657
1695,74.689
1696,74.754
1697,74.786
1698,74.850
1699,74.883
1700,74.947
1701,75.012
1702,75.044
1703,75.108
1704,75.141
1705,75.205
1706,75.237
1707,75.302
1708,75.334
1709,75.399
1710,75.463
1711,75.496
1712,75.560
1713,75.592
1714,75.657
1715,75.689
1716,75.754
1717,75.786
1718,75.850
1719,75.915
1720,75.947
1721,76.012
1722,76.044
1723,76.108
1724,76.141
1725,76.205
1726,76.238
1727,76.302
1728,76.334
1729,76.399
1730,76.431
1731,76.496
1732,76.528
1733,76.560
1734,76.592
1735,76.657
1736,76.689
1737,76.721
1738,76.754
1739,76.818
1740,76.850
1741,76.883
1742,76.915
1743,76.980
1744,77.012
1745,77.044
1746,77.076
1747,77.141
1748,77.173
1749,77.205
1750,77.238
1751,77.270
1752,77.334
1753,77.367
1754,77.399
1755,77.431
1756,77.496
1757,77.528
1758,77.592
1759,77.625
1760,77.689
1761,77.722
1762,77.786
1763,77.818
1764,77.883
1765,77.915
1766,77.980
